artist,title,song_id,lyrics
Billie Eilish , COPYCAT ,Billie-eilish-copycat," Don't be cautious, don't be kind, You committed, I'm your crime, 'Push my button anytime', You got your finger on the trigger, but your trigger finger's mine,   'Silver dollar, golden flame', 'Dirty water, poison rain', 'Perfect murder, take your aim', I don't belong to anyone, but everybody knows my name,  'Pre-', By the way, you've been uninvited, 'Cause all you say are all the same things I did,   'Copycat tryna cop my manner', Watch your back when you can't watch mine, 'Copycat tryna cop my glamour', Why so sad, bunny? Can't have mine,   'Call me calloused, call me cold', You're italic, I'm in bold, 'Call me cocky, watch your tone', You better love me, 'cause you're just a clone,  'Pre-', By the way, you've been uninvited, 'Cause all you say are all the same things I did,   'Copycat tryna cop my manner', Watch your back when you can't watch mine, 'Copycat tryna cop my glamour', Why so sad, bunny? Can't have mine,   'Mine', 'I would hate to see you go', 'Hate to be the one that told you so', 'You just crossed the line', You've run out of time, I'm so sorry, now you know, Sorry I'm the one that told you so, Sorry, sorry, I'm sorry, sorry, 'Psych',  'Pre-', By the way, you've been uninvited, 'Cause all you say are all the same things I did,   'Copycat tryna cop my manner', Watch your back when you can't watch mine, 'Copycat tryna cop my glamour', Why so sad, bunny? Can't have mine"
Billie Eilish , ​idontwannabeyouanymore ,Billie-eilish-idontwannabeyouanymore," Don't be that way, 'Fall apart twice a day', 'I just wish you could feel what you say', 'Show, never tell', 'But I know you too well', 'Got a mood that you wish you could sell',   'If teardrops could be bottled', There'd be swimming pools filled by models, 'Told a tight dress is what makes you a whore', 'If I love you was a promise', Would you break it, if you're honest?, Tell the mirror what you know she's heard before, I don't wanna be you..., 'Anymore',   'Hands getting cold', 'Losing feeling is getting old', 'Was I made from a broken mold?', Hurt, I can't shake, We've made every mistake, 'Only you know the way that I break',   'If teardrops could be bottled', There'd be swimming pools filled by models, 'Told a tight dress is what makes you a whore', 'If I love you was a promise', Would you break it, if you're honest?, Tell the mirror what you know she's heard before, I-I don't wanna be you, I don't wanna be you, I don't wanna be you..., 'Anymore'"
Billie Eilish , ​my boy ,Billie-eilish-my-boy," '(Three and four and)', 'Ba-ba-da, ba-ba-da-ba-da', 'Mmm, mmm',   My boy's bein' sus, he was shady enough, But now he's just a shadow, 'My boy loves his friends like I love my split ends', And by that, I mean he cuts 'em off, '(What?)',   'My boy, my boy, my boy', Don't love me like he promised, 'My boy, my boy, my boy', He ain't a man and sure as hell ain't honest,   My boy's bein' sus and he don't know how to cuss, He just sounds like he's tryna be his father (Who are you?), My boy's an ugly crier but he's such a pretty liar, And by that, I mean he said he'd change,   'My boy, my boy, my boy', Don't love me like he promised, 'My boy, my boy, my boy', He ain't a man and sure as hell ain't honest,   'My boy, my-my boy, my friends', 'I love-love, I-I love-love my split ends', 'My boy (Love, love, love, love, love, love)', 'My-my boy (Love, love, love, love, love, love)', 'My boy, my (Love, love, love, love, love, love, love, love)', '(Alright, dude, go trip over a knife)',   'My boy, my boy, my boy', Don't love me like he promised, 'My boy, my boy, my boy', He ain't a man and sure as hell ain't honest,  'Outro', 'You want me to be yours? Well, then you gotta be mine', 'And if you want a good girl, then goodbye', 'You want me to be yours? Well, then you gotta be mine', 'And if you want a good girl, then goodbye'"
Billie Eilish , ​watch ,Billie-eilish-watch," 'Lips meet teeth and tongue', 'My heart skips eight beats at once', 'If we were meant to be, we would have been by now', 'See what you wanna see, but all I see is him right now',   I'll sit and watch your car burn, 'With the fire that you started in me', 'But you never came back to ask it out', 'Go ahead and watch my heart burn', 'With the fire that you started in me', But I'll never let you back to put it out,   'Your love feels so fake', And my demands aren't high to make, 'If I could get to sleep, I would have slept by now', Your lies will never keep, I think you need to blow 'em out,   I'll sit and watch your car burn, 'With the fire that you started in me', 'But you never came back to ask it out', 'Go ahead and watch my heart burn', 'With the fire that you started in me', But I'll never let you back to put it out,   'When you call my name', Do you think I'll come runnin'?, 'You never did the same', So good at givin' me nothin', 'When you close your eyes, do you picture me?', 'When you fantasize, am I your fantasy?', 'Now you know', Now I'm free,   I'll sit and watch your car burn, 'With the fire that you started in me', 'But you never came back to ask it out', 'Watch my heart burn', 'With the fire that you started in me', But I'll never let you back to put it out,  'Outro', 'Never let you back', 'Let you back, let you back', 'Never gonna let you back', 'Let you back'"
Billie Eilish , ​​party favor ,Billie-eilish-party-favor," 'Hey, leave a message',   'Hey, call me back when ya get this', Or when you've got a minute, 'We really need to talk', 'Wait, you know what?', 'Maybe just forget it', 'Cause by the time you get this, 'Your number might be blocked',  'Pre-', 'Stay and blah blah blah', You just want what you can't have, 'No way', I'll call the cops, If you don't stop, I'll call your dad,   'And I hate to do this to you on your birthday', 'Happy birthday, by the way', 'It\'s not you, it\'s me and all that other bullshit', You know that's bullshit, Don'tcha, babe?, I'm not your party favor,   'Look, now I know we coulda done it better', But we can't change the weather, When the weather's come and gone, Books don't make sense if you read 'em backwards, You'll single out the wrong words, 'Like you mishear all my songs',  'Pre-', 'You\'ll hear stay and blah blah blah', You just want what you can't have, 'No way', I'll call the cops, If you don't stop, I'll call your dad,   'And I hate to do this to you on your birthday', 'Happy birthday by the way', 'It\'s not you, it\'s me and all that other bullshit', You know that's bullshit, Don'tcha, babe?, I'm not your party favor"
Billie Eilish , ​bellyache ,Billie-eilish-bellyache," 'Mind', 'Mind',   Sittin' all alone, 'Mouth full of gum', 'In the driveway', My friends aren't far, 'In the back of my car', 'Lay their bodies',  'Pre-', Where's my mind?, Where's my mind?,   They'll be here pretty soon, Lookin' through my room, 'For the money', I'm bitin' my nails, I'm too young to go to jail, It's kinda funny,  'Pre-', Where's my mind?, Where's my mind?, Where's my mind?, Where's my mind?,   Maybe it's in the gutter, 'Where I left my lover', 'What an expensive fake', 'My V is for Vendetta', Thought that I'd feel better, 'But now I got a bellyache', '(Mind)',   'Everything I do', 'The way I wear my noose', 'Like a necklace', I wanna make 'em scared, 'Like I could be anywhere', Like I'm reckless,  'Pre-', 'I lost my mind', I don't mind, Where's my mind?, Where's my mind?,   Maybe it's in the gutter, 'Where I left my lover', 'What an expensive fake', 'My V is for Vendetta', Thought that I'd feel better, 'But now I got a bellyache', '(Bellyache, bellyache, bellyache, bellyache', 'Bellyache, bellyache)', Maybe it's in the gutter, 'Where I left my lover', 'What an expensive fake', 'My V is for Vendetta', Thought that I'd feel better, 'But now I got a bellyache'"
Billie Eilish , ​​ocean eyes ,Billie-eilish-ocean-eyes," I've been watchin' you for some time, Can't stop starin' at those ocean eyes, 'Burning cities and napalm skies', 'Fifteen flares inside those ocean eyes', 'Your ocean eyes',   'No fair', 'You really know how to make me cry', 'When you give me those ocean eyes', I'm scared, I've never fallen from quite this high, Fallin' into your ocean eyes, 'Those ocean eyes',   I've been walkin' through a world gone blind, Can't stop thinkin' of your diamond mind, 'Careful creature made friends with time', 'He left her lonely with a diamond mind', 'And those ocean eyes',   'No fair (No fair)', 'You really know how to make me cry', 'When you give me those ocean eyes (Those ocean eyes)', I'm scared (I'm scared), I've never fallen from quite this high, Fallin' into your ocean eyes, 'Those ocean eyes',   '(Seye naeco esoht)', (Seye naeco ruoy otni 'nillaf), Da-da-da-da-da, da-da-da-da-da (Hgih siht etiuq morf nellaf reven ev'i), (Deracs m'i) Da-da-da-da-da-da, 'Da-da-da (Seye naeco esoht em evig uoy nehw)', 'Mmm (Yrc em ekam ot woh wonk yllaer uoy)', 'Mmm (Riaf on)',   'No fair', 'You really know how to make me cry', 'When you give me those ocean eyes', I'm scared, I've never fallen from quite this high, Fallin' into your ocean eyes, 'Those ocean eyes'"
Billie Eilish , ​hostage ,Billie-eilish-hostage," 'I wanna be alone', 'Alone with you, does that make sense?', 'I wanna steal your soul', 'And hide you in my treasure chest', I don't know what to do, 'To do with your kiss on my neck', I don't know what feels true, 'But this feels right, so stay a sec', 'Yeah, you feel right, so stay a sec',   'And let me crawl inside your veins', I'll build a wall, give you a ball and chain, It's not like me to be so mean, you're all I wanted, 'Just let me hold you', 'Like a hostage',   'Gold on your fingertips', 'Fingertips against my cheek', 'Gold leaf across your lips', Kiss me until I can't speak, 'Gold chain beneath your shirt', 'The shirt that you let me wear home', Gold's fake and real love hurts, But nothing hurts when I'm alone, When you're with me and we're alone,   'And let me crawl inside your veins', I'll build a wall, give you a ball and chain, It's not like me to be so mean, you're all I wanted, 'Just let me hold you', 'Hold you', 'Like a hostage', 'Like a hostage'"
Billie Eilish & Vince Staples , ​&burn ,Billie-eilish-and-vince-staples-burn,"': ', 'Lips meet teeth and tongue', My heart skips eight beats at once (That's better), 'If we were meant to be, we would have been by now', 'See what you wanna see, all I see is him right now', 'H-h-him right now',  ': ', I'll sit and watch your car burn, 'With the fire that you started in me', 'But you never came back to ask it out', 'Go ahead and watch my heart burn', 'With the fire that you started in me', But I'll never let you back to put it out, '(Thanks)',  ': ', 'Your love feels so fake', My demands aren't high to make, 'If I could get to sleep, I would have slept by now (Ahh)', 'Your lies will never keep, I think you need to blow them out', '(B-b-blow them out)',  ': ', I'll sit and watch your car burn, 'With the fire that you started in me', 'But you never came back to ask it out', 'Go ahead and watch my heart burn', 'With the fire that you started in me', But I'll never let you back to put it out,  ': ', '7-4-2008', 'I still remember that', 'Heaven sent a present my way', I won't forget your laugh, 'Packing everything when you leave', 'You know you coming back', 'Wanna see me down on my knees', 'But that was made for a ring', 'I try to wait for the storm to calm down', But that's stubborn, baby, leading to war, 'We droned down on each other', Tryin' to even the score, 'We all been found guilty in the court of aorta',  ': ', And I'll watch your car burn, 'With the fire that you started in me', 'But you never came back to ask it out', 'Go ahead and watch my heart burn', 'With the fire that you started in me', But I'll never let you back to put it out,  'Outro:  & ', 'Watch your car, watch your car burn', I won't forget your laugh, 'Go ahead and watch my heart, watch my heart burn', 'You know you coming back, you know you coming back', 'Watch your car, watch your car burn', '(Go ahead and watch my heart, watch my heart burn)', 'Tryna even the score', 'Go ahead and watch my heart, watch my heart burn', 'Found guilty in the court of aorta'"
Billie Eilish , ​everything i wanted ,Billie-eilish-everything-i-wanted," 'I had a dream', 'I got everything I wanted', Not what you'd think, And if I'm bein' honest, It\u2005might've\u2005been a nightmare, 'To\u2005anyone who might care', 'Thought I could\u2005fly (Fly)', 'So I stepped off the Golden, mm', 'Nobody cried (Cried, cried, cried, cried)', 'Nobody even noticed', 'I saw them standing right there', 'Kinda thought they might care (Might care, might care)',  'Pre-', 'I had a dream', 'I got everything I wanted', 'But when I wake up, I see', 'You with me',   'And you say, As long as I\'m here, no one can hurt you', Don't wanna lie here, but you can learn to, 'If I could change the way that you see yourself', 'You wouldn\'t wonder why you hear \'they don\'t deserve you\   'I tried to scream', 'But my head was underwater', 'They called me weak', Like I'm not just somebody's daughter, 'Coulda been a nightmare', 'But it felt like they were right there', 'And it feels like yesterday was a year ago', But I don't wanna let anybody know, 'Cause everybody wants something from me now, And I don't wanna let 'em down,  'Pre-', 'I had a dream', 'I got everything I wanted', 'But when I wake up, I see', 'You with me',   'And you say, As long as I\'m here, no one can hurt you', Don't wanna lie here, but you can learn to, 'If I could change the way that you see yourself', 'You wouldn\'t wonder why you hear \'they don\'t deserve you\  'Outro', 'If I knew it all then, would I do it again?', 'Would I do it again?', 'If they knew what they said would go straight to my head', 'What would they say instead?', 'If I knew it all then, would I do it again?', 'Would I do it again?', 'If they knew what they said would go straight to my head', 'What would they say instead?'"
